url,Modelo,Precio,VRAM,Tipo VRAM,HDMI,DisplayPort,Energia
https://www.coolmod.com/gigabyte-radeon-rx-7700-xt-oc-12gb-gddr6/,Tarjeta Gráfica Gigabyte Radeon RX 7700 XT OC 12GB GDDR6,45396,12,GDDR6,1,1,700
https://www.coolmod.com/asus-geforce-gt-730-2gb-gddr5/,Tarjeta Gráfica Asus GeForce GT 730 2GB GDDR5,7396,2,GDDR5,1,1,300
https://www.coolmod.com/asrock-radeon-rx-6600-challenger-8gb-gddr6/,Tarjeta Gráfica ASRock Radeon RX 6600 Challenger 8GB GDDR6,22095,8,GDDR6,1,1,500
https://www.coolmod.com/asus-geforce-gt-730-sl-2gb-gddr5/,Tarjeta Gráfica Asus GeForce GT 730 SL 2GB GDDR5,7095,2,GDDR5,,,300
https://www.coolmod.com/msi-geforce-gt-710-2gd3h-lp-2gb-gddr3-tarjeta-grafica/,Tarjeta Gráfica MSI GeForce GT 710 2GD3H LP 2GB GDDR3,4395,2,,,,
https://www.coolmod.com/pny-geforce-rtx-a1000-8gb-gddr6/,Tarjeta Gráfica PNY GeForce RTX A1000 8GB GDDR6 Bulk,44695,8,GDDR6,1,1,50
https://www.coolmod.com/biostar-geforce-210-1gb-ddr3/,Tarjeta Gráfica Biostar GeForce 210 1GB DDR3,3595,1,None,1,1,
https://www.coolmod.com/powercolor-hellhound-amd-radeon-rx-9070-xt-oc-16gb-gddr6/,Tarjeta Gráfica PowerColor Hellhound AMD Radeon RX 9070 XT OC 16GB GDDR6,83995,16,GDDR6,1,2,800
https://www.coolmod.com/biostar-geforce-gt-601-2gb-gddr3/,Tarjeta Gráfica Biostar GeForce GT 610 2GB GDDR3,4495,2,None,1,1,250
https://www.coolmod.com/zotac-gaming-geforce-rtx-4060-ti-twin-edge-16gb-gddr6-dlss3/,Tarjeta Gráfica Zotac Gaming GeForce RTX 4060 Ti Twin Edge 16GB GDDR6 DLSS3,61996,16,GDDR6,2,1,500
https://www.coolmod.com/gainward-geforce-rtx-3050-pegasus-8gb-gddr6/,Tarjeta Gráfica Gainward GeForce RTX 3050 Pegasus 8GB GDDR6,22195,8,,2,1,
https://www.coolmod.com/pny-geforce-rtx-5080-epic-x-rgb-oc-16gb-gddr7-dlss4/,Tarjeta Gráfica PNY GeForce RTX 5080 Epic-X RGB OC 16GB GDDR7 DLSS4,159995,16,,2,1,360
https://www.coolmod.com/gigabyte-amd-radeon-rx-6500-xt-gaming-oc-4gb-gddr6/,Tarjeta Gráfica Gigabyte AMD Radeon RX 6500 XT GAMING OC 4GB GDDR6,20395,4,GDDR6,2,1,400
https://www.coolmod.com/gigabyte-geforce-rtx-4060-oc-low-profile-8gb-gddr6/,Tarjeta Gráfica Gigabyte GeForce RTX 4060 OC Low Profile 8GB GDDR6,34195,8,GDDR6,1,1,182
https://www.coolmod.com/gigabyte-geforce-rtx-3060-oc-8gb-gddr6/,Tarjeta Gráfica Gigabyte GeForce RTX 3060 OC 8GB GDDR6,29195,8,GDDR6,1,1,198
https://www.coolmod.com/pny-nvidia-rtx-a4000-16gb-gddr6-tarjeta-grafica/,Tarjeta Gráfica PNY NVIDIA RTX A4000 16GB GDDR6,122295,16,,1,1,140
https://www.coolmod.com/gigabyte-geforce-rtx-4060-ti-windforce-oc-16gb-gddr6/,Tarjeta Gráfica Gigabyte GeForce RTX 4060 Ti Windforce OC 16GB GDDR6,67295,16,GDDR6,1,1,201
https://www.coolmod.com/pny-nvidia-t400-4gb-gddr6-bulk/,Tarjeta Gráfica PNY Nvidia T400 4GB GDDR6 Bulk,16795,4,GDDR6,,,
https://www.coolmod.com/nvidia-quadro-rtx-t1000-8gb-gddr6/,Tarjeta Gráfica Nvidia Quadro RTX T1000 8GB GDDR6,39095,8,,1,1,50
https://www.coolmod.com/zotac-gaming-geforce-rtx-3050-eco-solo-8gb-gddr6/,Tarjeta Gráfica Zotac Gaming GeForce RTX 3050 ECO SOLO 8GB GDDR6,22395,8,GDDR6,2,1,450
https://www.coolmod.com/gigabyte-amd-radeon-rx-6500-xt-eagle-4gb-gddr6/,Tarjeta Gráfica Gigabyte AMD Radeon RX 6500 XT EAGLE 4GB GDDR6,18695,4,GDDR6,2,1,400
https://www.coolmod.com/sapphire-pulse-amd-radeon-rx-6400-gaming-4gb-gddr6/,Tarjeta Gráfica Sapphire Pulse AMD Radeon RX 6400 Gaming 4GB GDDR6,13295,4,None,1,1,
https://www.coolmod.com/asus-tuf-gaming-amd-radeon-rx-7600-xt-oc-16gb-gddr6/,Tarjeta Gráfica Asus TUF Gaming Radeon RX 7600 XT OC 16GB GDDR6,47795,16,,1,2,
https://www.coolmod.com/zotac-gaming-geforce-rtx-3050-eco-8gb-gddr6/,Tarjeta Gráfica Zotac Gaming GeForce RTX 3050 ECO 8GB GDDR6,23295,8,GDDR6,2,1,450
https://www.coolmod.com/inno3d-geforce-rtx-3050-twin-x2-6gb-gddr6/,Tarjeta Gráfica INNO3D GeForce RTX 3050 TWIN X2 6GB GDDR6,20995,6,GDDR6,2,1,
https://www.coolmod.com/asus-dual-amd-radeon-rx-7600-xt-oc-16gb-gddr6/,Tarjeta Gráfica Asus Dual Radeon RX 7600 XT OC 16GB GDDR6,38495,16,,1,2,
