Precio,VRAM,HDMI,DisplayPort,Energia,GDDR3,GDDR4,GDDR5,GDDR6,GDDR6X,GDDR7
47190 ,8,2,1,550,False,False,False,True,False,False
29990 ,8,2,1,550,False,False,False,True,False,False
32150 ,8,2,2,600,False,False,False,True,False,False
47450 ,8,2,1,500,False,False,False,True,False,False
46790 ,8,1,1,160,False,False,False,True,False,False
45690 ,8,2,1,550,False,False,False,True,False,False
46900 ,8,1,1,50,False,False,False,True,False,False
85990 ,20,2,2,368,False,False,False,True,False,False
120900 ,24,2,2,420,False,False,False,True,False,False
20900 ,4,1,1,550,False,False,False,True,False,False
23450 ,8,1,1,500,False,False,False,True,False,False
4150 ,1,1,1,200,True,False,False,False,False,False
117900 ,16,1,1,550,False,False,False,True,False,False
31290 ,12,2,1,650,False,False,False,True,False,False
40900 ,4,1,1,50,False,False,False,True,False,False
14500 ,4,1,1,55,False,False,False,True,False,False
20137,4,1,1,30,False,False,False,True,False,False
78675,12,1,0,70,False,False,False,True,False,False
51940,8,1,0,50,False,False,False,True,False,False
42541,4,1,0,50,False,False,False,True,False,False
34898,8,1,3,550,False,False,False,True,False,False
9059,4,1,1,300,False,True,False,False,False,False
47825,8,1,3,550,False,False,False,True,False,False
4901,2,1,0,300,True,False,False,False,False,False
20605,6,2,1,300,False,False,False,True,False,False
20758,6,2,1,300,False,False,False,True,False,False
24096,8,1,3,500,False,False,False,True,False,False
5064,2,1,0,550,True,False,False,False,False,False
34823,8,1,3,550,False,False,False,True,False,False
24096,8,1,3,500,False,False,False,True,False,False
22850,8,1,3,500,False,False,False,True,False,False
32162,12,2,2,550,False,False,False,True,False,False
12995,4,1,1,300,False,False,True,False,False,False
38473,16,2,2,600,False,False,False,True,False,False
55728,16,2,2,700,False,False,False,True,False,False
30957,12,2,2,550,False,False,False,True,False,False
3987,1,1,0,550,True,False,False,False,False,False
46470,12,2,2,700,False,False,False,True,False,False
34726,8,1,3,550,False,False,False,True,False,False
5018,2,1,0,550,True,False,False,False,False,False
36956,8,2,2,450,False,False,False,True,False,False
54030,16,2,2,700,False,False,False,True,False,False
22450,6,2,2,300,False,False,False,True,False,False
29937,8,2,2,550,False,False,False,True,False,False
5641,2,1,0,300,False,False,True,False,False,False
34049,8,2,2,450,False,False,False,True,False,False
20026,6,1,1,70,False,False,False,True,False,False
46568,8,2,2,600,False,False,False,True,False,False
37814,16,2,2,600,False,False,False,True,False,False
20136,6,1,1,300,False,False,False,True,False,False
35975,8,2,2,450,False,False,False,True,False,False
20036,4,1,1,400,False,False,False,True,False,False
21511,4,1,1,400,False,False,False,True,False,False
35447,16,1,3,700,False,False,False,True,False,False
23865,8,1,3,115,False,False,False,True,False,False
33077,16,1,3,650,False,False,False,True,False,False
31249,8,1,3,550,False,False,False,True,False,False
33855,8,1,3,115,False,False,False,True,False,False
21308,6,2,2,300,False,False,False,True,False,False
14596,4,1,0,550,False,False,True,False,False,False
37016,8,2,2,450,False,False,False,True,False,False
40085,8,2,2,450,False,False,False,True,False,False
45299,12,1,3,750,False,False,False,True,False,False
